date,region,channel,customers,orders,revenue,marketing_spend
2025-10-01,East,Search,621,41,4009.07,359.19
2025-10-01,East,Social,719,23,1971.17,322.94
2025-10-01,East,Email,374,38,3687.91,93.56
2025-10-01,East,Affiliate,467,31,2611.09,189.31
2025-10-01,South,Search,534,27,2155.66,372.5
2025-10-01,South,Social,617,28,3046.87,292.15
2025-10-01,South,Email,319,27,2103.21,102.01
2025-10-01,South,Affiliate,383,21,2145.43,197.06
2025-10-01,North,Search,496,27,2300.08,342.33
2025-10-01,North,Social,613,19,1606.19,291.61
2025-10-01,North,Email,320,35,3375.2,98.39
2025-10-01,North,Affiliate,375,30,2861.59,188.5
2025-10-01,West,Search,489,35,3361.76,342.32
2025-10-01,West,Social,557,35,3267.44,327.06
2025-10-01,West,Email,243,21,1927.99,93.48
2025-10-01,West,Affiliate,322,18,1559.31,187.77
2025-10-02,East,Search,559,30,2507.99,372.45
2025-10-02,East,Social,636,26,2412.09,323.09
2025-10-02,East,Email,299,30,2666.76,95.29
2025-10-02,East,Affiliate,368,24,2188.58,200.37
2025-10-02,South,Search,514,24,2311.51,347.96
2025-10-02,South,Social,553,21,2071.32,302.54
2025-10-02,South,Email,302,22,1899.68,96.74
2025-10-02,South,Affiliate,355,24,2000.23,183.6
2025-10-02,North,Search,480,34,3048.6,376.12
2025-10-02,North,Social,489,20,1812.91,326.28
2025-10-02,North,Email,254,26,2540.76,100.74
2025-10-02,North,Affiliate,325,27,2747.12,188.55
2025-10-02,West,Search,405,28,2455.49,359.85
2025-10-02,West,Social,499,14,1413.42,309.77
2025-10-02,West,Email,240,20,1929.92,94.05
2025-10-02,West,Affiliate,292,24,2471.52,186.79
2025-10-03,East,Search,563,29,2600.48,355.61
2025-10-03,East,Social,594,26,2432.47,315.75
2025-10-03,East,Email,281,32,3007.81,102.05
2025-10-03,East,Affiliate,385,24,2390.04,179.1
2025-10-03,South,Search,481,27,2375.26,353.48
2025-10-03,South,Social,563,20,1675.15,298.91
2025-10-03,South,Email,291,27,2086.73,97.54
2025-10-03,South,Affiliate,337,24,2158.66,200.52
2025-10-03,North,Search,447,29,2861.64,358.47
2025-10-03,North,Social,535,13,1050.8,299.93
2025-10-03,North,Email,229,22,2198.24,103.12
2025-10-03,North,Affiliate,334,18,1706.97,189.4
2025-10-03,West,Search,457,35,2935.89,376.72
2025-10-03,West,Social,446,17,1444.17,308.87
2025-10-03,West,Email,204,13,1123.02,98.6
2025-10-03,West,Affiliate,272,16,1441.28,187.85
2025-10-04,East,Search,552,28,2628.58,361.31
2025-10-04,East,Social,671,28,2732.82,308.04
2025-10-04,East,Email,320,20,1731.81,100.61
2025-10-04,East,Affiliate,410,31,3083.56,193.33
2025-10-04,South,Search,479,30,2561.16,343.96
2025-10-04,South,Social,542,18,1726.06,316.5
2025-10-04,South,Email,281,26,2448.47,103.03
2025-10-04,South,Affiliate,356,13,1108.78,194.51
2025-10-04,North,Search,433,29,2233.07,365.16
2025-10-04,North,Social,521,28,2228.48,320.1
2025-10-04,North,Email,254,24,1665.95,96.89
2025-10-04,North,Affiliate,329,17,1648.4,190.14
2025-10-04,West,Search,404,28,2603.64,370.0
2025-10-04,West,Social,474,12,983.6,321.01
2025-10-04,West,Email,240,25,2039.11,104.43
2025-10-04,West,Affiliate,303,20,1915.16,183.99
2025-10-05,East,Search,543,20,1809.71,346.96
2025-10-05,East,Social,621,17,1424.03,302.1
2025-10-05,East,Email,308,30,2697.67,102.86
2025-10-05,East,Affiliate,420,30,2640.2,194.32
2025-10-05,South,Search,498,30,2439.45,340.38
2025-10-05,South,Social,531,21,1854.38,326.65
2025-10-05,South,Email,277,21,1834.24,100.73
2025-10-05,South,Affiliate,310,19,1621.13,181.39
2025-10-05,North,Search,480,24,2253.17,343.76
2025-10-05,North,Social,537,25,2140.06,315.79
2025-10-05,North,Email,253,14,1347.31,100.84
2025-10-05,North,Affiliate,299,23,2119.68,180.27
2025-10-05,West,Search,438,31,2805.98,351.08
2025-10-05,West,Social,459,21,2027.8,324.56
2025-10-05,West,Email,228,15,1531.78,99.38
2025-10-05,West,Affiliate,326,19,1859.68,180.64
2025-10-06,East,Search,571,29,2364.2,375.47
2025-10-06,East,Social,634,24,2439.62,312.05
2025-10-06,East,Email,319,30,2652.55,101.63
2025-10-06,East,Affiliate,403,36,3351.11,183.85
2025-10-06,South,Search,466,28,2725.85,381.78
2025-10-06,South,Social,568,24,1936.61,328.27
2025-10-06,South,Email,303,21,2224.63,98.61
2025-10-06,South,Affiliate,333,34,3375.55,187.96
2025-10-06,North,Search,465,33,3226.92,346.42
2025-10-06,North,Social,589,22,1717.04,308.16
2025-10-06,North,Email,239,23,2000.13,98.54
2025-10-06,North,Affiliate,319,30,2753.34,188.9
2025-10-06,West,Search,386,28,2580.1,345.37
2025-10-06,West,Social,497,24,1850.17,311.93
2025-10-06,West,Email,235,17,1704.37,101.57
2025-10-06,West,Affiliate,296,20,1687.93,179.65
2025-10-07,East,Search,574,24,2127.47,372.16
2025-10-07,East,Social,611,22,2112.23,303.96
2025-10-07,East,Email,285,27,2582.51,100.01
2025-10-07,East,Affiliate,370,21,2049.12,184.21
2025-10-07,South,Search,480,27,2300.33,379.03
2025-10-07,South,Social,533,20,1993.59,301.75
2025-10-07,South,Email,280,24,2004.91,95.69
2025-10-07,South,Affiliate,327,23,2122.73,189.21
